Day,Title,How to apply (optional),URL of where to,Company,Full Job Description,Location,Country,Tags Matched,Notes,Within_3_Days
2025-09-20,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",,boards.greenhouse.io/infuse/jobs/4610444005,INFUSE,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",Remote,,Vue.js; Zoom; Git; Node.js; React; S3; Python; AWS; PostgreSQL; MongoDB; Redis; Telegram; GraphQL,,yes
2025-09-20,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",,boards.greenhouse.io/infuse/jobs/4610453005,INFUSE,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",Remote,,Python; Vue.js; S3; Git; PostgreSQL; Telegram; Redis; Node.js; MongoDB; GraphQL; AWS; Zoom; React,,yes
2025-09-20,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",,boards.greenhouse.io/infuse/jobs/4610458005,INFUSE,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",Remote,,Node.js; Telegram; Redis; S3; Python; Zoom; Vue.js; MongoDB; React; Git; AWS; GraphQL; PostgreSQL,,yes
2025-09-20,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",,boards.greenhouse.io/infuse/jobs/4610462005,INFUSE,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",Remote,,Vue.js; PostgreSQL; Python; S3; Redis; Git; MongoDB; AWS; Telegram; React; Zoom; GraphQL; Node.js,,yes
2025-09-20,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",,boards.greenhouse.io/infuse/jobs/4610452005,INFUSE,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",Remote,,React; AWS; S3; Zoom; Redis; Git; Python; GraphQL; Telegram; Node.js; MongoDB; Vue.js; PostgreSQL,,yes
2025-09-20,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",,boards.greenhouse.io/infuse/jobs/4610455005,INFUSE,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",Remote,,GraphQL; Git; Node.js; Python; AWS; Telegram; PostgreSQL; Zoom; React; S3; Vue.js; Redis; MongoDB,,yes
2025-09-20,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",,boards.greenhouse.io/infuse/jobs/4610448005,INFUSE,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",Remote,,S3; Git; Node.js; Telegram; GraphQL; PostgreSQL; MongoDB; Python; Zoom; Redis; React; Vue.js; AWS,,yes
2025-09-20,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",,boards.greenhouse.io/infuse/jobs/4610442005,INFUSE,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",Remote,,AWS; S3; Git; GraphQL; React; MongoDB; Python; Redis; Zoom; PostgreSQL; Node.js; Telegram; Vue.js,,yes
2025-09-20,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",,boards.greenhouse.io/infuse/jobs/4610445005,INFUSE,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",Remote,,S3; Git; Node.js; Telegram; GraphQL; PostgreSQL; MongoDB; Python; Zoom; Redis; React; Vue.js; AWS,,yes
2025-09-20,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",,boards.greenhouse.io/infuse/jobs/4610461005,INFUSE,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",Remote,,Node.js; Redis; Telegram; MongoDB; React; PostgreSQL; S3; Vue.js; Python; AWS; Git; GraphQL; Zoom,,yes
2025-09-20,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",,boards.greenhouse.io/infuse/jobs/4610443005,INFUSE,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",Remote,,Node.js; MongoDB; AWS; Telegram; Vue.js; Python; S3; React; Redis; GraphQL; Git; PostgreSQL; Zoom,,yes
2025-09-20,Lead Mobile (iOS) Software Engineer,,boards.greenhouse.io/liginternal/jobs/7263083,Landmark Information Group,Lead Mobile (iOS) Software Engineer,Remote,,iOS; Swift,,yes
2025-09-20,Senior Backend Engineer - Enterprise,,raintechnologiesinc.applytojob.com/apply/3dINObolvI/Senior-Backend-Engineer-Enterprise,Rain Technologies,Senior Backend Engineer - Enterprise,Remote,,C++; Java; Go; Python; NoSQL; Docker; Kubernetes; ECS; AWS; SQL,,yes
2025-09-19,Senior Backend Engineer,,bizaway.applytojob.com/apply/4NKa9ccEzs/Senior-Backend-Engineer,BizAway,Senior Backend Engineer,Remote,Spain,Kafka; Fastify; Express; AWS; TypeScript; Node.js; OpenAPI; Docker,,yes
2025-09-19,Staff Software Engineer - AI Infrastructure,,jobs.ashbyhq.com/magicschool/f140d36e-a62a-4785-b654-487a7f5c21d4,MagicSchool AI,Staff Software Engineer - AI Infrastructure,Remote,United States,PostgreSQL; Python; Next.js; Node.js; Go; TypeScript,,yes
2025-09-19,Senior Backend Engineer - Italy,,bizaway.applytojob.com/apply/52EIeRKzcL/Senior-Backend-Engineer-Italy,BizAway,Senior Backend Engineer - Italy,Remote,Italy,TypeScript; AWS; Fastify; Docker; OpenAPI; Node.js; Express; Kafka,,yes
2025-09-19,Senior Backend Engineer - Albania,,bizaway.applytojob.com/apply/X2ecnnTjE3/Senior-Backend-Engineer-Albania,BizAway,Senior Backend Engineer - Albania,Remote,Albania,AWS; TypeScript; Fastify; OpenAPI; Kafka; Express; Node.js; Docker,,yes
2025-09-19,Software Engineer II,,gama1technologies.applytojob.com/apply/rH5OGbwZ2s/Software-Engineer-II,GAMA-1 Technologies,Software Engineer II,Remote,United States,Bash; Linux; Perl; GitLab; Python; Kubernetes,,yes
2025-09-22,Senior Backend Engineer - Users,,raintechnologiesinc.applytojob.com/apply/39mqEdSnaJ/Senior-Backend-Engineer-Users,Rain Technologies,Senior Backend Engineer - Users,Remote,,Go; C++; AWS; Docker; ECS; SQL; Python; Kubernetes; NoSQL; Java,,yes
2025-09-19,920- Senior Software Engineer (Linux-Python Back-End Developer),,boards.greenhouse.io/gofasti/jobs/5654311004,GoFasti,920- Senior Software Engineer (Linux-Python Back-End Developer),Remote,,Python; Linux; Bash; Podman,,yes
2025-09-19,Senior Full Stack Engineer (Kotlin),,careerstech9.applytojob.com/apply/y1mz80hksn/Senior-Full-Stack-Engineer-Kotlin,Tech9,Senior Full Stack Engineer (Kotlin),Remote,India,Kotlin; Sidekiq; Ruby; Lambda; Rails; HireVue; AWS,,yes
2025-09-19,921- Manager Software Engineering,,boards.greenhouse.io/gofasti/jobs/5654592004,GoFasti,921- Manager Software Engineering,Remote,,DynamoDB; Redux; Cognito; React; Step Functions; Python; AWS,,yes
2025-09-19,"Senior Software Engineer (Backend → AI Applications) - Remote, Worldwide",,jobs.ashbyhq.com/nethermind/6d00fc26-3096-4a00-b0b3-0053684f5a75,Nethermind,"Senior Software Engineer (Backend → AI Applications) - Remote, Worldwide",Remote,Singapore,Python; Docker; Blockchain; GDPR; TypeScript; JSON; SQL; AWS; OpenAI,,yes
2025-09-19,Staff Software Engineer,,jobs.lever.co/MOstudio/641202e0-e1b5-49f8-9591-3258d96bb9c2,Transforming Customer Experiences,Staff Software Engineer,Remote,,Ruby; Bash; iOS; React Native; AWS; Rails; Node.js,,yes
2025-09-19,922- Sr Software Engineer - Healthcare Full Stack Dev,,boards.greenhouse.io/gofasti/jobs/5654775004,GoFasti,922- Sr Software Engineer - Healthcare Full Stack Dev,Remote,,React; Python; AWS,,yes
2025-09-19,918 - Software Engineer,,boards.greenhouse.io/gofasti/jobs/5653907004,GoFasti,918 - Software Engineer,Remote,,AWS; Python; React; Step Functions; Django,,yes
2025-09-19,Software Engineer,,boards.greenhouse.io/jukeboxhealth/jobs/4028386009,Jukebox Health,Software Engineer,Remote,,Next.js; JavaScript; Salesforce; TypeScript; React; Shopify; Ruby; NetSuite; Google Maps,,yes
2025-09-19,Senior Staff Software Engineer,,coppercrm.applytojob.com/apply/6ukss1z2eQ/Senior-Staff-Software-Engineer,Copper CRM,Senior Staff Software Engineer,Remote,,Kubernetes; Google; Ember.js; Redis; Rails; Resque; Ruby; OpenSearch; PostgreSQL,,yes
2025-09-19,Senior Software Engineer (Full-Stack),,coppercrm.applytojob.com/apply/ukfAu1fDEz/Senior-Software-Engineer-FullStack,Copper CRM,Senior Software Engineer (Full-Stack),Remote,,Ruby; Elasticsearch; React; Rails; PostgreSQL; Ember.js; Google; Redis; Resque; Angular.js,,yes
2025-09-19,Senior Software Engineer (Backend),,coppercrm.applytojob.com/apply/pAdzOWuHYl/Senior-Software-Engineer-Backend,Copper CRM,Senior Software Engineer (Backend),Remote,,Resque; Google; React; JavaScript; PostgreSQL; Ember.js; Rails; Redis; OpenSearch; Elasticsearch; Angular.js; Ruby,,yes
2025-09-19,SDET-Software Engineer in Test,,modivcare.wd1.myworkdayjobs.com/careers/job/remote/sdet-software-engineer-in-test_jr103149,ModivCare Solutions,SDET-Software Engineer in Test,Remote,United States,Python; C#; JUnit; JavaScript; Playwright; Java; Selenium,,yes
2025-09-19,Software Engineer (Eastern/Central US Time Zones),,cleargov.applytojob.com/apply/sVvMNnOxQH/Software-Engineer-EasternCentral-US-Time-Zones,ClearGov,Software Engineer (Eastern/Central US Time Zones),Remote,United States,Git; AWS; Socket.IO; gulp; AngularJS; Heroku; Elasticsearch; Jira; MySQL; S3; Confluence; HighCharts; ClearGov; Express; Node.js; SQL; JavaScript; RabbitMQ; D3,,yes
2025-09-20,Chief of Staff,,boards.greenhouse.io/warp/jobs/5652809004,Warp,Chief of Staff,Remote,,Box; Stripe; Figma; Dropbox; LinkedIn; Facebook; Google; Pinterest; Warp Web Server,,yes
2025-09-20,Chief of Staff,,boards.greenhouse.io/tellius/jobs/4891013007,Tellius,Chief of Staff,Remote,,,,yes
2025-09-19,Mid-Level Full-Stack Engineer (React + Go),,tyktechnologiesltd.applytojob.com/apply/GJmvK9k8g5/MidLevel-FullStack-Engineer-React-Go,Tyk Technologies,Mid-Level Full-Stack Engineer (React + Go),Remote,,React; MongoDB; Jest; Go; JavaScript; Tyk; Redis; Apple; Redux; Kubernetes,,yes
